date,strategy,category,scheme_code,scheme_name,prediction_score,quintile,target_weight,opening_drifted_weight,closing_weight,nav_start,nav_end,fund_return,data_quality_flag
2024-07-31,HistGBM,Unknown,119514,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119700,Unknown,0,5,0.001001001001001001,0.0,0.0009932162266120008,1,0.9922230103853887,-0.00777698961461121,OK
2024-07-31,HistGBM,Unknown,120351,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118879,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151040,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151142,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118469,Unknown,0,5,0.001001001001001001,0.0,0.0009765473648840117,1,0.9755708175191277,-0.02442918248087234,OK
2024-07-31,HistGBM,Unknown,118557,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120621,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118859,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119369,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,139538,Unknown,0,5,0.0033783783783783786,0.0,0.0033983650583270836,1,1.0059160572648167,0.0059160572648167915,OK
2024-07-31,HistGBM,Unknown,151833,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118701,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119135,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120389,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119303,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118679,Unknown,0,5,0.009009009009009009,0.0,0.009009009009009009,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118687,Unknown,0,5,0.009009009009009009,0.0,0.009009009009009009,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119735,Unknown,0,5,0.009009009009009009,0.0,0.009009009009009009,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120046,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120492,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151796,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148404,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151379,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,129046,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,140353,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,150264,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120488,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148567,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151777,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,131580,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148481,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,136007,Unknown,0,5,0.009009009009009009,0.0,0.009268491780841296,1,1.028802587673384,0.028802587673383995,OK
2024-07-31,HistGBM,Unknown,141950,Unknown,0,5,0.009009009009009009,0.0,0.009009009009009009,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,133364,Unknown,0,5,0.009009009009009009,0.0,0.00923097533374857,1,1.0246382620460912,0.024638262046091226,OK
