scheme_code,scheme_name,isin_growth,original_scheme_name,normalized_underlying_name,normalization_rule_version,is_direct,is_regular,is_growth,is_idcw,plan_classification,manual_classification,reviewer_reason,audit_timestamp
140167,Nippon India Fixed Horizon Fund XXXII- Series 4- Direct Plan-Growth Option,INF204KB1GA2,Nippon India Fixed Horizon Fund XXXII- Series 4- Direct Plan-Growth Option,fixed horizon fund xxxii series 4,1.0,True,False,True,False,Direct Growth,,,
120003,ING Income Growth Multi Manager FoF Scheme - 15% Equity Plan -  Direct Plan - Option A - Growth Option,INF084M01DS6,ING Income Growth Multi Manager FoF Scheme - 15% Equity Plan -  Direct Plan - Option A - Growth Option,ing income multi manager fof scheme 15% equity a,1.0,True,False,True,False,Direct Growth,,,
135764,Axis Children's Fund - No Lock in - Direct Growth,INF846K01WR4,Axis Children's Fund - No Lock in - Direct Growth,children's fund no lock in,1.0,True,False,True,False,Direct Growth,,,
128838,Reliance Fixed Horizon Fund- XXVI- Series 8- Direct Plan - Growth Option,INF204KA1ME3,Reliance Fixed Horizon Fund- XXVI- Series 8- Direct Plan - Growth Option,reliance fixed horizon fund xxvi series 8,1.0,True,False,True,False,Direct Growth,,,
121681,IDFC FTP - S 16(397 Days)- Direct Plan-Growth,,IDFC FTP - S 16(397 Days)- Direct Plan-Growth,ftp s 16 397 days,1.0,True,False,True,False,Direct Growth,,,
124130,Sundaram Fixed Term Plan DV Direct Plan Growth,INF903J01T54,Sundaram Fixed Term Plan DV Direct Plan Growth,fixed term dv,1.0,True,False,True,False,Direct Growth,,,
129121,Aditya Birla Sun Life Fixed Term Plan - Series LC (1099 days) - Direct Plan-Growth,INF209KA1Y17,Aditya Birla Sun Life Fixed Term Plan - Series LC (1099 days) - Direct Plan-Growth,fixed term series lc 1099 days,1.0,True,False,True,False,Direct Growth,,,
152607,Bandhan Innovation Fund - Direct Plan - Growth,INF194KB1IE2,Bandhan Innovation Fund - Direct Plan - Growth,innovation fund,1.0,True,False,True,False,Direct Growth,,,
150815,JM Midcap Fund (Direct) - Growth,INF192K01MV6,JM Midcap Fund (Direct) - Growth,jm midcap fund,1.0,True,False,True,False,Direct Growth,,,
119054,DWS Gilt Fund - Direct Plan - Growth,INF223J01ND7,DWS Gilt Fund - Direct Plan - Growth,dws gilt fund,1.0,True,False,True,False,Direct Growth,,,
135839,HDFC FMP 1111D November 2015 (1) - Direct Option - Growth Option,INF179KB1KK4,HDFC FMP 1111D November 2015 (1) - Direct Option - Growth Option,fmp 1111d november 2015 1,1.0,True,False,True,False,Direct Growth,,,
125822,Axis Fixed Term Plan - Series 44 (91 days) - Direct Plan - Growth,INF846K01IC5,Axis Fixed Term Plan - Series 44 (91 days) - Direct Plan - Growth,fixed term series 44 91 days,1.0,True,False,True,False,Direct Growth,,,
127887,Axis Fixed Term Plan - Series 56 (370 Days) - Direct Plan - Growth,INF846K01LF2,Axis Fixed Term Plan - Series 56 (370 Days) - Direct Plan - Growth,fixed term series 56 370 days,1.0,True,False,True,False,Direct Growth,,,
123602,Aditya Birla Sun Life Fixed Term Plan - Series HL (1463 days) - Direct Plan-Growth,INF209KB1382,Aditya Birla Sun Life Fixed Term Plan - Series HL (1463 days) - Direct Plan-Growth,fixed term series hl 1463 days,1.0,True,False,True,False,Direct Growth,,,
121248,DSP BlackRock FTP - Series 22 - 14M - Direct Plan - Growth Option,INF740K01SK2,DSP BlackRock FTP - Series 22 - 14M - Direct Plan - Growth Option,blackrock ftp series 22 14m,1.0,True,False,True,False,Direct Growth,,,
