normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
nifty next 50 index fund,,,ambiguous,"[120684, 143341, 146381, 147796, 148745, 148945, 149288, 149466, 149838, 151937, 153350, 153858]","[143340, 146380, 147797, 148743, 148943, 149467, 149837, 151935, 153349, 153855]"
nifty private bank index fund,,,ambiguous,"[152864, 153348, 153679]","[152865, 153347]"
nifty realty index fund,,,ambiguous,"[152570, 153060]","[152573, 153061]"
nifty sdl sep 2027 index fund,,,ambiguous,"[149999, 151562]",[151560]
nifty smallcap 250 index fund,,,ambiguous,"[148519, 149283, 150677, 151727, 152264, 153223, 154018]","[148518, 150676, 152266, 153221, 154016]"
nifty smallcap 50 index fund,,,ambiguous,"[148815, 149894, 151649]","[148811, 149896, 151647]"
nifty top 10 equal weight index fund,,,ambiguous,"[152814, 153461]","[152813, 153463]"
nifty total market index fund,,,ambiguous,"[152716, 152968]","[152717, 152970]"
nifty100 low volatility 30 index fund,,,ambiguous,"[150636, 153718]","[150633, 153716]"
nifty200 momentum 30 index fund,,,ambiguous,"[150591, 153662]","[150592, 153663]"
nifty200 quality 30 index fund,,,ambiguous,"[153546, 153555]",[153554]
nifty200 value 30 index fund,,,ambiguous,"[152936, 154145]",[154148]
nifty50 equal weight index fund,,,ambiguous,"[149107, 150639, 151762, 152370]","[151761, 152372]"
nifty500 momentum 50 index fund,,,ambiguous,"[153244, 154032]","[153245, 154030]"
overnight fund,,,ambiguous,"[119110, 119833, 120785, 145486, 145536, 146191, 146062, 146141, 145810, 146675, 146963, 146980, 147515, 147736]","[101206, 100814, 146187, 146061, 146142, 145811, 146678, 146959, 146977, 147519, 147739]"
pharma and healthcare fund,,,ambiguous,"[147409, 152082]",[147407]
psu equity fund,,,ambiguous,"[147844, 150539]",[147846]
quality fund,,,ambiguous,"[153458, 154177]",[154175]
quant fund,,,ambiguous,"[118770, 118769, 147306, 147864, 148600, 148993, 151881, 152684, 152694, 153154, 153204]","[147303, 147867, 148992, 151878, 152686, 152692, 153153, 153205]"
retirement fund the 40s,,,ambiguous,"[146588, 146930]","[146586, 146929]"
retirement fund the 50s,,,ambiguous,"[146584, 146940]","[146587, 146938]"
rural opportunities fund,,,ambiguous,"[153184, 153970]",[153969]
savings fund,,,ambiguous,"[119501, 120398, 119106, 119821, 119750]","[101430, 101317, 101316, 111794, 107695, 100087, 102503, 102448, 102330, 112874]"
services fund,,,ambiguous,"[144835, 153558, 154149]","[144838, 153561, 154151]"
