normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
birla sun life fixed term series gq 367 days,121317.0,121309.0,high_confidence_candidate,,
birla sun life fixed term series gr 399 days,121324.0,121311.0,high_confidence_candidate,,
birla sun life fixed term series gs 395 days,121493.0,121495.0,high_confidence_candidate,,
birla sun life fixed term series gt 366 days,122233.0,122234.0,high_confidence_candidate,,
birla sun life fixed term series gu 368 days,122351.0,122354.0,high_confidence_candidate,,
birla sun life fixed term series gv 368 days,122358.0,122361.0,high_confidence_candidate,,
birla sun life fixed term series gx 366 days,122427.0,122430.0,high_confidence_candidate,,
birla sun life fixed term series gy 366 days,122434.0,122435.0,high_confidence_candidate,,
birla sun life fixed term series hb 366 days,122947.0,122945.0,high_confidence_candidate,,
birla sun life fixed term series hd 366 days,121762.0,121761.0,high_confidence_candidate,,
birla sun life fixed term series he 386 days,121767.0,121770.0,high_confidence_candidate,,
birla sun life fixed term series hf 385 days,121799.0,121802.0,high_confidence_candidate,,
birla sun life fixed term series hg 381 days,121811.0,121813.0,high_confidence_candidate,,
birla sun life fixed term series hh 382 days,121919.0,121921.0,high_confidence_candidate,,
birla sun life fixed term series hn 197 days,123813.0,123810.0,high_confidence_candidate,,
birla sun life fixed term series ho 91 days,123816.0,123819.0,high_confidence_candidate,,
birla sun life fixed term series hp 30 days,123823.0,123821.0,high_confidence_candidate,,
birla sun life fixed term series hu 30 days,124060.0,124061.0,high_confidence_candidate,,
birla sun life fixed term series hx 91 days,124402.0,124404.0,high_confidence_candidate,,
birla sun life fixed term series ia 1099 days,124461.0,124460.0,high_confidence_candidate,,
birla sun life fixed term series ib 91 days,124466.0,124465.0,high_confidence_candidate,,
birla sun life fixed term series ih 1098 days,124820.0,124821.0,high_confidence_candidate,,
birla sun life fixed term series ii 1099 days,124845.0,124849.0,high_confidence_candidate,,
birla sun life fixed term series ij 91 days,124825.0,124827.0,high_confidence_candidate,,
birla sun life fixed term series is 368 days,125156.0,125158.0,high_confidence_candidate,,
birla sun life fixed term series it 367 days,125165.0,125163.0,high_confidence_candidate,,
birla sun life fixed term series iv 368 days,125251.0,125252.0,high_confidence_candidate,,
birla sun life fixed term series iw 368 days,125276.0,125280.0,high_confidence_candidate,,
birla sun life fixed term series jb 91 days,125587.0,125590.0,high_confidence_candidate,,
birla sun life fixed term series jd 91 days,125699.0,125701.0,high_confidence_candidate,,
birla sun life fixed term series je 368 days,125785.0,125788.0,high_confidence_candidate,,
birla sun life fixed term series jg 368 days,125944.0,125947.0,high_confidence_candidate,,
birla sun life fixed term series jl 368 days,126130.0,126132.0,high_confidence_candidate,,
birla sun life fixed term series jn 368 days,126221.0,126224.0,high_confidence_candidate,,
birla sun life fixed term series jo 367 days,126361.0,126358.0,high_confidence_candidate,,
birla sun life fixed term series js 368 days,126613.0,126616.0,high_confidence_candidate,,
birla sun life fixed term series jt 367 days,126671.0,126674.0,high_confidence_candidate,,
birla sun life fixed term series ju 369 days,126735.0,126738.0,high_confidence_candidate,,
birla sun life fixed term series jz 368 days,127055.0,127057.0,high_confidence_candidate,,
birla sun life fixed term series kb 367 days,127245.0,127246.0,high_confidence_candidate,,
birla sun life fixed term series kl 30 days,127997.0,127999.0,high_confidence_candidate,,
birla sun life fixed term series ku 378 days,128760.0,128765.0,high_confidence_candidate,,
birla sun life fixed term series kv 367 days,128774.0,128772.0,high_confidence_candidate,,
birla sun life fixed term series ky 369 days,128901.0,128896.0,high_confidence_candidate,,
birla sun life fixed term series lb 368 days,129080.0,129078.0,high_confidence_candidate,,
birla sun life floating rate long term,119509.0,101969.0,high_confidence_candidate,,
birla sun life interval income fund annual ii,121027.0,121347.0,high_confidence_candidate,,
birla sun life interval income fund annual iii,121327.0,121330.0,high_confidence_candidate,,
birla sun life interval income fund annual viii,122933.0,122936.0,high_confidence_candidate,,
blackrock dual advantage fund series 11 36m maturity date 04 apr 2016,120816.0,118864.0,high_confidence_candidate,,
blackrock dual advantage fund series 13 35m maturity date 04 apr 2016,121094.0,121092.0,high_confidence_candidate,,
blackrock dual advantage fund series 14 33m maturity date 03 may 2016,122162.0,122159.0,high_confidence_candidate,,
blackrock dual advantage fund series 15 36m,122487.0,122489.0,high_confidence_candidate,,
blackrock dual advantage fund series 16 36m,122698.0,122695.0,high_confidence_candidate,,
blackrock dual advantage fund series 17 35m maturity date 10 oct 2016,123286.0,123284.0,high_confidence_candidate,,
blackrock dual advantage fund series 18 34m maturity date 10 oct 2016,124118.0,124116.0,high_confidence_candidate,,
blackrock dual advantage fund series 19 36m,124914.0,124912.0,high_confidence_candidate,,
blackrock dual advantage fund series 29 40m,131182.0,131179.0,high_confidence_candidate,,
blackrock dual advantage fund series 34 36m,133505.0,133508.0,high_confidence_candidate,,
blackrock dual advantage fund series 35 36m,133667.0,133669.0,high_confidence_candidate,,
blackrock dual advantage fund series 36 36m,133916.0,133917.0,high_confidence_candidate,,
blackrock fmp series 103 12m,122844.0,122840.0,high_confidence_candidate,,
blackrock fmp series 104 12m july 2016 maturity,122941.0,122938.0,high_confidence_candidate,,
blackrock fmp series 105 12m maturity date 04 aug 2016,123034.0,123031.0,high_confidence_candidate,,
blackrock fmp series 106 3m,123048.0,123045.0,high_confidence_candidate,,
blackrock fmp series 107 12m maturity date 11 aug 2016,123144.0,123148.0,high_confidence_candidate,,
blackrock fmp series 108 12m maturity date 18 aug 2016,123275.0,123273.0,high_confidence_candidate,,
blackrock fmp series 109 12m maturity date 18 aug 2016,123302.0,123299.0,high_confidence_candidate,,
blackrock fmp series 110 12m maturity date 29 aug 2016,,,rejected,,
blackrock fmp series 111 12m maturity date 29 sep 2016,123517.0,123519.0,high_confidence_candidate,,
blackrock fmp series 112 3m,123630.0,123629.0,high_confidence_candidate,,
blackrock fmp series 113 12m maturity date 29 sep 2016,123673.0,123676.0,high_confidence_candidate,,
blackrock fmp series 114 3m,123680.0,123683.0,high_confidence_candidate,,
blackrock fmp series 115 12m maturity date 29 sep 2016,124103.0,124100.0,high_confidence_candidate,,
blackrock fmp series 116 3m,124110.0,124109.0,high_confidence_candidate,,
blackrock fmp series 117 12m maturity date 29 sep 2016,124168.0,124166.0,high_confidence_candidate,,
blackrock fmp series 118 12m maturity date 29 sep 2016,124230.0,124227.0,high_confidence_candidate,,
blackrock fmp series 119 12m maturity date 29 sep 2016,124239.0,124235.0,high_confidence_candidate,,
blackrock fmp series 126 12m maturity date 28 nov 2016,125204.0,125206.0,high_confidence_candidate,,
blackrock fmp series 130 12m,125857.0,125860.0,high_confidence_candidate,,
blackrock fmp series 144 12m maturity date 20 feb 2017,126683.0,126684.0,high_confidence_candidate,,
blackrock fmp series 145 12m,127014.0,127017.0,high_confidence_candidate,,
blackrock fmp series 146 12m maturity date 6 jun 2017,,,rejected,,
blackrock fmp series 147 3m,127251.0,127254.0,high_confidence_candidate,,
blackrock fmp series 148 12m maturity date 06 jun 2017,127456.0,127459.0,high_confidence_candidate,,
blackrock fmp series 149 12m maturity date 19 jun 2017,127607.0,127610.0,high_confidence_candidate,,
blackrock fmp series 150 13m maturity date 11 april 2017,127667.0,127665.0,high_confidence_candidate,,
blackrock fmp series 151 12m maturity date 19 jun 2017,127855.0,127858.0,high_confidence_candidate,,
blackrock fmp series 152 12 5m maturity date 11 april 2017,127988.0,127987.0,high_confidence_candidate,,
blackrock fmp series 153 12m maturity date 27 jun 2017,128106.0,128109.0,high_confidence_candidate,,
blackrock fmp series 154 12 5m maturity date 11 april 2017,128342.0,128345.0,high_confidence_candidate,,
blackrock fmp series 155 12m maturity date 03 apr 2017,128376.0,128379.0,high_confidence_candidate,,
blackrock fmp series 161 12m maturity date 27 april 2017,128945.0,128943.0,high_confidence_candidate,,
blackrock fmp series 162 12m maturity date 27 april 2017,128975.0,128978.0,high_confidence_candidate,,
blackrock fmp series 163 12m maturity date 27 april 2017,128999.0,128996.0,high_confidence_candidate,,
blackrock fmp series 164 12m maturity date 16 may 2017,129497.0,129496.0,high_confidence_candidate,,
blackrock fmp series 84 12m,121046.0,121043.0,high_confidence_candidate,,
blackrock fmp series 85 3m,121107.0,121103.0,high_confidence_candidate,,
blackrock fmp series 86 12m,121149.0,121147.0,high_confidence_candidate,,
blackrock fmp series 87 12m,121293.0,121296.0,high_confidence_candidate,,
blackrock fmp series 88 12 5m,121425.0,121422.0,high_confidence_candidate,,
blackrock fmp series 89 12m,121517.0,121514.0,high_confidence_candidate,,
blackrock fmp series 90 12m,121714.0,121711.0,high_confidence_candidate,,
blackrock fmp series 91 12m,121828.0,121827.0,high_confidence_candidate,,
blackrock fmp series 93 12m,121856.0,121853.0,high_confidence_candidate,,
blackrock fmp series 94 12m,121988.0,121985.0,high_confidence_candidate,,
blackrock fmp series 95 12m,122115.0,122117.0,high_confidence_candidate,,
blackrock ftp series 21 18m,121051.0,121049.0,high_confidence_candidate,,
blackrock ftp series 22 14m,121248.0,121249.0,high_confidence_candidate,,
blackrock ftp series 31 36m,123248.0,123250.0,high_confidence_candidate,,
blackrock ftp series 32 24m maturity date 21 sep 2016,124113.0,124115.0,high_confidence_candidate,,
blackrock ftp series 33 24m maturity date 01 dec 2016,125415.0,125413.0,high_confidence_candidate,,
blackrock ftp series 36 15m maturity date 27 april 2017,126376.0,126374.0,high_confidence_candidate,,
blackrock ftp series 37 14m maturity date 27 april 2017,127001.0,127004.0,high_confidence_candidate,,
blackrock ftp series 38 25m maturity date 17 apr 2017,127472.0,127475.0,high_confidence_candidate,,
blackrock ftp series 44 36m,131266.0,131265.0,high_confidence_candidate,,
blackrock rgess fund series 1,121032.0,121031.0,high_confidence_candidate,,
blackrock technology com fund,119245.0,100090.0,high_confidence_candidate,,
blended a,,,rejected,,
blended b i,,,rejected,,
bluechip flexicap fund,120757.0,103457.0,high_confidence_candidate,,
bnp paribas arbitrage fund,140386.0,140385.0,high_confidence_candidate,,
bnp paribas capital protection oriented fund,,,rejected,,
bnp paribas capital protection oriented fund series ii,,,rejected,,
bnp paribas conservative hybrid fund,120082.0,113560.0,high_confidence_candidate,,
bnp paribas corporate bond fund,119984.0,114099.0,high_confidence_candidate,,
bnp paribas dual advantage fund series i,,,rejected,,
bnp paribas dynamic equity fund,146402.0,146398.0,high_confidence_candidate,,
bnp paribas fixed term fund series 24 a,,,rejected,,
bnp paribas fixed term fund series 25 a,,,rejected,,
bnp paribas fixed term fund series 25 b,,,rejected,,
bnp paribas fixed term fund series 26 a,,,rejected,,
bnp paribas fixed term fund series 26 b,,,rejected,,
bnp paribas fixed term fund series 26 c,,,rejected,,
bnp paribas fixed term fund series 27 a,,,rejected,,
bnp paribas fixed term fund series 27 b,,,rejected,,
bnp paribas fixed term fund series 29 b,,,rejected,,
bnp paribas flexi debt fund,,,rejected,,
bnp paribas focused 25 equity fund,141813.0,141812.0,high_confidence_candidate,,
bnp paribas funds aqua fund of fund,148897.0,148896.0,high_confidence_candidate,,
bnp paribas government securities fund,,,rejected,,
bnp paribas income and gold fund,,,rejected,,
bnp paribas india consumption fund,144634.0,144636.0,high_confidence_candidate,,
bnp paribas large cap fund,,,rejected,,
bnp paribas liquid fund,,,ambiguous,"[120123, 130479]","[113640, 130459]"
bnp paribas long term equity fund,,,rejected,,
bnp paribas low duration fund,120008.0,113476.0,high_confidence_candidate,,
bnp paribas medium term fund,,,rejected,,
bnp paribas mid cap fund,,,rejected,,
bnp paribas multi cap fund,,,rejected,,
bnp paribas overnight fund,147125.0,147124.0,high_confidence_candidate,,
bnp paribas short term fund,120131.0,113547.0,high_confidence_candidate,,
bnp paribas substantial equity hybrid fund,,,rejected,,
boi axa capital protection oriented fund series 1,125371.0,125368.0,high_confidence_candidate,,
boi axa capital protection oriented fund series 2,133063.0,133060.0,high_confidence_candidate,,
