scheme_code,latest_name,name_prefix
152250,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ (92 days) - Direct Plan - Growth Option,aditya birla sun life fixed maturity plan - series uq (92 da
152251,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ (92 days) - Direct Plan - Payout of IDCW Option,aditya birla sun life fixed maturity plan - series uq (92 da
152252,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ (92 days) - Regular Plan - Payout of IDCW Option,aditya birla sun life fixed maturity plan - series uq (92 da
152253,Aditya Birla Sun Life Fixed Maturity Plan - Series UQ (92 days) - Regular Plan - Growth Option,aditya birla sun life fixed maturity plan - series uq (92 da
152259,Aditya Birla Sun Life Fixed Maturity Plan - Series UR (85 days) - Direct Plan - Growth Option,aditya birla sun life fixed maturity plan - series ur (85 da
152260,Aditya Birla Sun Life Fixed Maturity Plan - Series UR (85 days) - Regular Plan - Growth Option,aditya birla sun life fixed maturity plan - series ur (85 da
152261,Aditya Birla Sun Life Fixed Maturity Plan - Series UR (85 days) - Regular Plan - Payout of IDCW Option,aditya birla sun life fixed maturity plan - series ur (85 da
152262,Aditya Birla Sun Life Fixed Maturity Plan - Series UR (85 days) - Direct Plan - Payout of IDCW Option,aditya birla sun life fixed maturity plan - series ur (85 da
152267,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Direct Growth,aditya birla sun life crisil ibx gilt apr 2033 index fund-di
152268,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Regular Growth,aditya birla sun life crisil ibx gilt apr 2033 index fund-re
152269,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Regular IDCW payout,aditya birla sun life crisil ibx gilt apr 2033 index fund-re
152270,Aditya Birla Sun Life Crisil IBX Gilt Apr 2033 Index Fund-Direct IDCW Payout,aditya birla sun life crisil ibx gilt apr 2033 index fund-di
152280,Nippon India Fixed Maturity Plan XLVI Series 1 - Regular Plan - Growth,nippon india fixed maturity plan xlvi series 1 - regular pla
152281,Nippon India Fixed Maturity Plan XLVI Series 1 - Regular Plan - IDCW Payout,nippon india fixed maturity plan xlvi series 1 - regular pla
152282,Nippon India Fixed Maturity Plan XLVI Series 1 - Direct Plan - IDCW Payout,nippon india fixed maturity plan xlvi series 1 - direct plan
152283,Nippon India Fixed Maturity Plan XLVI Series 1 - Direct Plan - Growth,nippon india fixed maturity plan xlvi series 1 - direct plan
152302,SBI Fixed Maturity Plan-Series 91 (90 Days) - Regular Plan - Income Distribution Cum Capital Wthdrawal,sbi fixed maturity plan-series 91 (90 days) - regular plan -
152303,SBI Fixed Maturity Plan-Series 91 (90 Days) - Direct Plan - Growth,sbi fixed maturity plan-series 91 (90 days) - direct plan -
152304,SBI Fixed Maturity Plan-Series 91 (90 Days) - Regular Plan - Growth,sbi fixed maturity plan-series 91 (90 days) - regular plan -
152305,SBI Fixed Maturity Plan-Series 91 (90 Days) - Direct Plan - Income Distribution Cum Capital Withdrawal,sbi fixed maturity plan-series 91 (90 days) - direct plan -
152332,Aditya Birla Sun Life Fixed Maturity Plan - Series US (100 days) - Direct Plan - Growth Option,aditya birla sun life fixed maturity plan - series us (100 d
152333,Aditya Birla Sun Life Fixed Maturity Plan - Series US (100 days) - Direct Plan - Payout of IDCW Option,aditya birla sun life fixed maturity plan - series us (100 d
152334,Aditya Birla Sun Life Fixed Maturity Plan - Series US (100 days) - Regular Plan - Growth Option,aditya birla sun life fixed maturity plan - series us (100 d
152335,Aditya Birla Sun Life Fixed Maturity Plan - Series US (100 days) - Regular Plan - Payout of IDCW Option,aditya birla sun life fixed maturity plan - series us (100 d
152365,ICICI Prudential Nifty50 Value 20 Index Fund - Direct Plan - Growth,icici prudential nifty50 value 20 index fund - direct plan -
152367,ICICI Prudential Nifty50 Value 20 Index Fund - Direct Plan - IDCW,icici prudential nifty50 value 20 index fund - direct plan -
152374,Axis Fixed Term Plan - Series 120 (91 Days) - Regular Plan - Quarterly IDCW,axis fixed term plan - series 120 (91 days) - regular plan -
152375,Axis Fixed Term Plan - Series 120 (91 Days) - Direct Plan - Growth,axis fixed term plan - series 120 (91 days) - direct plan -
152376,Axis Fixed Term Plan - Series 120 (91 Days) - Direct Plan - Quarterly  IDCW,axis fixed term plan - series 120 (91 days) - direct plan -
152377,Axis Fixed Term Plan - Series 120 (91 Days) - Regular Plan - Growth,axis fixed term plan - series 120 (91 days) - regular plan -
152400,SBI Fixed Maturity Plan-Series 92 (91 days) - Direct Plan - Growth,sbi fixed maturity plan-series 92 (91 days) - direct plan -
152401,SBI Fixed Maturity Plan-Series 92 (91 days) - Direct Plan - Income Distribution Cum Capital Withdrawal Option,sbi fixed maturity plan-series 92 (91 days) - direct plan -
152402,SBI Fixed Maturity Plan-Series 92 (91 days) - Regular Plan - Income Distribution Cum Capital Withdrawal Option,sbi fixed maturity plan-series 92 (91 days) - regular plan -
152403,SBI Fixed Maturity Plan-Series 92 (91 days) - Regular Plan - Growth,sbi fixed maturity plan-series 92 (91 days) - regular plan -
152451,Kotak Fixed Maturity Plan Series 328 - 90 Days - Direct Plan - Growth Option,kotak fixed maturity plan series 328 - 90 days - direct plan
152452,Kotak Fixed Maturity Plan Series 328 - 90 Days - Direct Plan - IDCW Option,kotak fixed maturity plan series 328 - 90 days - direct plan
152456,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund - Direct Plan - IDCW,mirae asset nifty smallcap 250 momentum quality 100 etf fund
152457,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund - Regular Plan - Growth,mirae asset nifty smallcap 250 momentum quality 100 etf fund
152458,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund - Regular Plan - IDCW,mirae asset nifty smallcap 250 momentum quality 100 etf fund
152459,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth,mirae asset nifty smallcap 250 momentum quality 100 etf fund
152482,ICICI Prudential Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth,icici prudential nifty largemidcap 250 index fund - direct p
152483,ICICI Prudential Nifty LargeMidcap 250 Index Fund - Direct Plan - IDCW,icici prudential nifty largemidcap 250 index fund - direct p
152493,Tata Fixed Maturity Plan Series 61 Scheme A (91 days) - Regular Plan Growth Option,tata fixed maturity plan series 61 scheme a (91 days) - regu
152494,Tata Fixed Maturity Plan Series 61 Scheme A (91 days) - Regular Plan IDCW Payout Option,tata fixed maturity plan series 61 scheme a (91 days) - regu
152495,Tata Fixed Maturity Plan Series 61 Scheme A (91 days) - Direct Plan Growth Option,tata fixed maturity plan series 61 scheme a (91 days) - dire
152496,Tata Fixed Maturity Plan Series 61 Scheme A (91 days) - Direct Plan IDCW Payout Option,tata fixed maturity plan series 61 scheme a (91 days) - dire
152497,Tata Fixed Maturity Plan Series 61 Scheme A (91 days) - Regular Plan IDCW Reinvestment Option,tata fixed maturity plan series 61 scheme a (91 days) - regu
152498,Tata Fixed Maturity Plan Series 61 Scheme A (91 days) - Direct Plan IDCW Reinvestment Option,tata fixed maturity plan series 61 scheme a (91 days) - dire
152513,Axis CRISIL IBX SDL June 2034 Debt Index Fund - Regular Plan - IDCW Option,axis crisil ibx sdl june 2034 debt index fund - regular plan
152514,Axis CRISIL IBX SDL June 2034 Debt Index Fund - Direct Plan - IDCW Option,axis crisil ibx sdl june 2034 debt index fund - direct plan
152515,Axis CRISIL IBX SDL June 2034 Debt Index Fund - Direct Plan - Growth Option,axis crisil ibx sdl june 2034 debt index fund - direct plan
152516,Axis CRISIL IBX SDL June 2034 Debt Index Fund - Regular Plan - Growth Option,axis crisil ibx sdl june 2034 debt index fund - regular plan
152542,Kotak Fixed Maturity Plan Series 329 - 90 Days - Direct Plan - IDCW Option,kotak fixed maturity plan series 329 - 90 days - direct plan
152543,Kotak Fixed Maturity Plan Series 329 - 90 Days - Regular Plan - Growth Option,kotak fixed maturity plan series 329 - 90 days - regular pla
152544,Kotak Fixed Maturity Plan Series 329 - 90 Days - Regular Plan - IDCW Option,kotak fixed maturity plan series 329 - 90 days - regular pla
152545,Kotak Fixed Maturity Plan Series 329 - 90 Days - Direct Plan - Growth Option,kotak fixed maturity plan series 329 - 90 days - direct plan
152547,Kotak Nifty AAA Bond Jun 2025 HTM Index Fund - Regular Plan - Growth option,kotak nifty aaa bond jun 2025 htm index fund - regular plan
152548,Kotak Nifty AAA Bond Jun 2025 HTM Index Fund - Regular Plan - IDCW Option,kotak nifty aaa bond jun 2025 htm index fund - regular plan
152549,Kotak Nifty AAA Bond Jun 2025 HTM Index Fund - Direct Plan - Growth option,kotak nifty aaa bond jun 2025 htm index fund - direct plan -
152550,Kotak Nifty AAA Bond Jun 2025 HTM Index Fund - Direct Plan - IDCW option,kotak nifty aaa bond jun 2025 htm index fund - direct plan -
152562,Tata Nifty MidSmall Healthcare Index Fund - Regular Plan - IDCW Payout,tata nifty midsmall healthcare index fund - regular plan - i
152563,Tata Nifty MidSmall Healthcare Index Fund - Regular Plan - IDCW Reinvestment,tata nifty midsmall healthcare index fund - regular plan - i
152565,Tata Nifty MidSmall Healthcare Index Fund - Direct Plan - IDCW Payout,tata nifty midsmall healthcare index fund - direct plan - id
152566,Tata Nifty MidSmall Healthcare Index Fund - Direct Plan - IDCW Reinvestment,tata nifty midsmall healthcare index fund - direct plan - id
152575,Tata Nifty Financial Services Index Fund - Regular Plan - IDCW Payout,tata nifty financial services index fund - regular plan - id
152576,Tata Nifty Financial Services Index Fund - Regular Plan - IDCW Reinvestment,tata nifty financial services index fund - regular plan - id
152578,Tata Nifty Financial Services Index Fund - Direct Plan - IDCW Reinvestment,tata nifty financial services index fund - direct plan - idc
152579,Tata Nifty Financial Services Index Fund - Direct Plan - IDCW Payout,tata nifty financial services index fund - direct plan - idc
152588,Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund -Direct Plan-Growth,tata nifty500 multicap india manufacturing 50:30:20 index fu
152589,Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund -Direct Plan-IDCW-Payout,tata nifty500 multicap india manufacturing 50:30:20 index fu
152590,Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund -Regular Plan-Growth,tata nifty500 multicap india manufacturing 50:30:20 index fu
152591,Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund -Regular Plan-IDCW Payout,tata nifty500 multicap india manufacturing 50:30:20 index fu
152592,Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund -Regular Plan -IDCW-Reinvestment,tata nifty500 multicap india manufacturing 50:30:20 index fu
152593,Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund -Direct Plan-IDCW-Reinvestment,tata nifty500 multicap india manufacturing 50:30:20 index fu
152594,Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund - Direct Plan - IDCW Reinvestment,tata nifty500 multicap infrastructure 50:30:20 index fund -
152595,Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund - Direct Plan - Growth,tata nifty500 multicap infrastructure 50:30:20 index fund -
152596,Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund - Regular Plan - Growth,tata nifty500 multicap infrastructure 50:30:20 index fund -
152597,Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund - Regular Plan - IDCW Payout,tata nifty500 multicap infrastructure 50:30:20 index fund -
